,Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
2432673,10.42.0.151-87.240.165.91-60011-80-6,10.42.0.151,60011,87.240.165.91,80,6,30-06-2017 09:57,60369300,2,2,0,0,0,0,0,0,0,0,0,0,0,0.066258863,20123100,34654800,60139000,91576,230316,230316,0,230316,230316,60230500,60230500,0,60230500,60230500,0,0,0,0,72,72,0.0331294,0.0331294,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,72,0,0,0,0,0,0,2,0,2,0,65535,55,0,32,0,0,0,0,0,0,0,0,SMSMALWARE_FAKEINST
2152876,172.217.10.46-10.42.0.211-443-59167-6,10.42.0.211,59167,172.217.10.46,443,6,27-06-2017 04:51,40830,2,0,0,0,0,0,0,0,0,0,0,0,0,48.9835905,40830,0,40830,40830,40830,40830,0,40830,40830,0,0,0,0,0,0,0,0,0,64,0,48.9836,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,0,0,362,-1,0,32,0,0,0,0,0,0,0,0,SCAREWARE_FAKEAPP
2471896,10.42.0.211-10.42.0.1-46987-53-17,10.42.0.211,46987,10.42.0.1,53,17,30-06-2017 10:42,382750,1,1,36,136,36,36,36,0,136,136,136,0,449.379,5.225342913,382750,0,382750,382750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2.61267,2.61267,36,136,69.3333,57.73502692,3333.33,0,0,0,0,0,0,0,0,1,104,36,136,20,0,0,0,0,0,0,1,36,1,136,-1,-1,0,20,0,0,0,0,0,0,0,0,SMSMALWARE_FAKENOTIFY
71296,10.42.0.151-76.13.28.70-39226-443-6,76.13.28.70,443,10.42.0.151,39226,6,13-06-2017 09:30,2188,1,1,0,0,0,0,0,0,0,0,0,0,0,914.0767824,2188,0,2188,2188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,457.038,457.038,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,61,1595,0,32,0,0,0,0,0,0,0,0,ADWARE_EWIND
2322816,10.42.0.42-103.235.46.211-32977-443-6,10.42.0.42,32977,103.235.46.211,443,6,04-07-2017 10:04,1787360,2,0,0,0,0,0,0,0,0,0,0,0,0,1.118966254,1787360,0,1787360,1787364,1787360,1787360,0,1787360,1787360,0,0,0,0,0,0,0,0,0,40,0,1.11897,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,40,0,0,0,0,0,0,2,0,0,0,1369,-1,0,20,0,0,0,0,0,0,0,0,SCAREWARE_FAKETAOBAO
2336751,10.42.0.151-31.13.80.5-45345-443-6,31.13.80.5,443,10.42.0.151,45345,6,30-06-2017 12:07,37330,2,3,0,31,0,0,0,0,31,0,10.3333,17.8979,830.431,133.9405304,9332.5,11189.9,22547,12,37330,37330,0,37330,37330,98,49,52.3259,86,12,0,0,0,0,52,108,53.5762,80.3643,0,31,5.16667,12.655697,160.167,0,0,0,0,1,1,0,0,1,6.2,0,10.3333,52,0,0,0,0,0,0,2,0,3,31,122,1369,0,20,0,0,0,0,0,0,0,0,SCAREWARE_PENETHO
2122028,10.42.0.42-119.146.74.48-50739-80-6,10.42.0.42,50739,119.146.74.48,80,6,26-06-2017 10:33,24083500,2,0,0,0,0,0,0,0,0,0,0,0,0,0.083044377,24083500,0,24083500,24083509,24083500,24083500,0,24083500,24083500,0,0,0,0,0,0,0,0,0,40,0,0.0830444,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,40,0,0,0,0,0,0,2,0,0,0,2172,-1,0,20,0,0,0,0,0,0,0,0,SCAREWARE_AVPASS
95538,10.42.0.151-124.243.210.6-36373-80-6,10.42.0.151,36373,124.243.210.6,80,6,15-06-2017 11:26,14830900,2,0,0,0,0,0,0,0,0,0,0,0,0,0.134853646,14830900,0,14830900,14830893,14830900,14830900,0,14830900,14830900,0,0,0,0,0,0,0,0,0,40,0,0.134854,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,0,0,0,0,0,0,2,0,0,0,1386,-1,0,20,0,0,0,0,0,0,0,0,ADWARE_FEIWO
1784983,10.42.0.211-14.204.144.141-39527-443-6,10.42.0.211,39527,14.204.144.141,443,6,30-08-2017 02:47,16298700,3,1,0,0,0,0,0,0,0,0,0,0,0,0.245417744,5432910,9178700,16030500,3401,16298700,8149370,11145600,16030500,268256,0,0,0,0,0,0,0,0,0,104,40,0.184063,0.0613544,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,3,0,1,0,65535,14480,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_PORNDROID
1537488,10.42.0.42-104.93.181.98-42198-443-6,10.42.0.42,42198,104.93.181.98,443,6,22-06-2017 04:07,5,1,1,31,0,31,31,31,0,0,0,0,0,6200000,400000,5,0,5,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,200000,200000,0,31,20.6667,17.89785834,320.333,0,1,0,0,1,0,0,0,1,31,31,0,32,0,0,0,0,0,0,1,31,1,0,1039,1039,0,32,0,0,0,0,0,0,0,0,BENIGN
1685169,10.42.0.211-10.42.0.1-38751-53-17,10.42.0.211,38751,10.42.0.1,53,17,22-08-2017 09:44,47588,1,1,34,79,34,34,34,0,79,79,79,0,2374.55,42.02740187,47588,0,47588,47588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,21.0137,21.0137,34,79,49,25.98076211,675,0,0,0,0,0,0,0,0,1,73.5,34,79,32,0,0,0,0,0,0,1,34,1,79,-1,-1,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_JISUT
1836003,10.42.0.151-103.235.47.110-40504-443-6,10.42.0.151,40504,103.235.47.110,443,6,29-08-2017 03:44,8179290,2,0,0,0,0,0,0,0,0,0,0,0,0,0.244520031,8179290,0,8179290,8179289,8179290,8179290,0,8179290,8179290,0,0,0,0,0,0,0,0,0,40,0,0.24452,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,40,0,0,0,0,0,0,2,0,0,0,1369,-1,0,20,0,0,0,0,0,0,0,0,RANSOMWARE_RANSOMBO
1473731,208.185.50.45-10.42.0.42-443-49421-6,208.185.50.45,443,10.42.0.42,49421,6,21-06-2017 09:28,288233,2,0,0,0,0,0,0,0,0,0,0,0,0,6.938830738,288233,0,288233,288233,288233,288233,0,288233,288233,0,0,0,0,0,0,0,0,0,40,0,6.93883,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,40,0,0,0,0,0,0,2,0,0,0,14472,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
1591638,10.42.0.211-10.42.0.1-40462-53-17,10.42.0.211,40462,10.42.0.1,53,17,23-06-2017 05:06,61713,1,1,39,90,39,39,39,0,90,90,90,0,2090.32,32.40808258,61713,0,61713,61713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,16.204,16.204,39,90,56,29.44486373,867,0,0,0,0,0,0,0,0,1,84,39,90,32,0,0,0,0,0,0,1,39,1,90,-1,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
309326,202.77.129.150-10.42.0.211-80-54748-6,10.42.0.211,54748,202.77.129.150,80,6,14-06-2017 01:08,9672310,2,0,0,0,0,0,0,0,0,0,0,0,0,0.206775837,9672310,0,9672310,9672310,9672310,9672310,0,9672310,9672310,0,0,0,0,0,0,0,0,0,40,0,0.206776,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,0,0,0,0,0,0,2,0,0,0,1403,-1,0,20,0,0,0,0,0,0,0,0,ADWARE_MOBIDASH
730228,172.217.10.142-10.42.0.211-443-50434-6,10.42.0.211,50434,172.217.10.142,443,6,08-08-2017 09:57,106,2,0,23,0,23,0,11.5,16.2635,0,0,0,0,216981,18867.92453,106,0,106,106,106,106,0,106,106,0,0,0,0,0,1,0,0,0,64,0,18867.9,0,0,23,15.3333,13.27905619,176.333,0,1,0,0,1,0,0,0,0,23,11.5,0,64,0,0,0,0,0,0,2,23,0,0,1419,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
1966110,10.42.0.151-52.84.27.159-50058-443-6,10.42.0.151,50058,52.84.27.159,443,6,22-08-2017 12:16,651,2,0,0,0,0,0,0,0,0,0,0,0,0,3072.196621,651,0,651,651,651,651,0,651,651,0,0,0,0,0,0,0,0,0,64,0,3072.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,0,0,1550,-1,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_WANNALOCKER
71511,10.42.0.151-31.13.71.3-59446-443-6,10.42.0.151,59446,31.13.71.3,443,6,13-06-2017 09:37,16398,1,1,0,0,0,0,0,0,0,0,0,0,0,121.9660934,16398,0,16398,16398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,60.983,60.983,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,0,0,1,0,1,0,0,0,0,20,0,0,0,0,0,0,0,0,ADWARE_EWIND
2288601,10.42.0.211-63.250.200.101-47142-443-6,10.42.0.211,47142,63.250.200.101,443,6,29-06-2017 11:23,123734,7,10,1659,4717,951,0,237,368.553,1448,0,471.7,629.428,51529.9,137.3915011,7733.38,9400.79,25428,8,96758,16126.3,13643.2,32165,675,98306,10922.9,17910,50407,8,0,0,0,0,232,328,56.573,80.8185,0,1448,354.222,528.0526439,278840,0,0,0,1,0,0,0,0,1,375.059,237,471.7,232,0,0,0,0,0,0,7,1659,10,4717,65535,3840,3,32,0,0,0,0,0,0,0,0,SCAREWARE_FAKEJOBOFFER
103640,180.149.136.194-10.42.0.151-443-53482-6,10.42.0.151,53482,180.149.136.194,443,6,15-06-2017 12:35,20,1,1,31,0,31,31,31,0,0,0,0,0,1550000,100000,20,0,20,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,20,50000,50000,0,31,20.6667,17.89785834,320.333,0,1,0,0,1,0,0,0,1,31,31,0,20,0,0,0,0,0,0,1,31,1,0,200,200,0,20,0,0,0,0,0,0,0,0,ADWARE_FEIWO
2394357,10.42.0.211-47.88.68.22-38586-443-6,10.42.0.211,38586,47.88.68.22,443,6,30-06-2017 02:45,2965900,2,0,0,0,0,0,0,0,0,0,0,0,0,0.674331796,2965900,0,2965900,2965899,2965900,2965900,0,2965900,2965900,0,0,0,0,0,0,0,0,0,40,0,0.674332,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,0,0,0,0,0,0,2,0,0,0,65535,-1,0,20,0,0,0,0,0,0,0,0,SMSMALWARE_BEANBOT
288895,10.42.0.211-104.192.110.245-35552-443-6,10.42.0.211,35552,104.192.110.245,443,6,14-06-2017 01:00,14519000,9,8,643,6335,517,0,71.4444,172.201,1460,0,791.875,720.377,480.613,1.170883005,907435,3514130,14084400,12,14519000,1814870,4957900,14084400,54,336199,48028.4,87405.5,227459,12,0,0,0,0,200,172,0.619879,0.551004,0,1460,387.667,605.2301458,366304,0,0,0,1,0,0,0,0,0,410.471,71.4444,791.875,200,0,0,0,0,0,0,9,643,8,6335,65535,31,2,20,434596,0,434596,434596,14084400,0,14084400,14084400,ADWARE_KOODOUS
1240751,10.42.0.211-52.84.31.229-33469-443-6,52.84.31.229,443,10.42.0.211,33469,6,17-06-2017 12:29,66,2,0,31,0,31,0,15.5,21.9203,0,0,0,0,469697,30303.0303,66,0,66,66,66,66,0,66,66,0,0,0,0,0,1,0,0,0,64,0,30303,0,0,31,20.6667,17.89785834,320.333,0,1,0,0,1,0,0,0,0,31,15.5,0,64,0,0,0,0,0,0,2,31,0,0,123,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
2130047,10.42.0.1-10.42.0.42-53-59475-17,10.42.0.42,59475,10.42.0.1,53,17,26-06-2017 11:33,49238,1,1,37,158,37,37,37,0,158,158,158,0,3960.36,40.61903408,49238,0,49238,49238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,20.3095,20.3095,37,158,77.3333,69.85938257,4880.33,0,0,0,0,0,0,0,0,1,116,37,158,32,0,0,0,0,0,0,1,37,1,158,-1,-1,0,32,0,0,0,0,0,0,0,0,SCAREWARE_AVPASS
2321965,172.217.12.202-10.42.0.42-443-38234-6,10.42.0.42,38234,172.217.12.202,443,6,04-07-2017 09:38,37044,1,1,0,0,0,0,0,0,0,0,0,0,0,53.98984991,37044,0,37044,37044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.9949,26.9949,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,1637,349,0,32,0,0,0,0,0,0,0,0,SCAREWARE_FAKETAOBAO
958351,10.42.0.211-10.42.0.1-13010-53-17,10.42.0.211,13010,10.42.0.1,53,17,06-07-2017 07:52,31666,1,1,33,49,33,33,33,0,49,49,49,0,2589.53,63.1592244,31666,0,31666,31666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,31.5796,31.5796,33,49,38.3333,9.237604307,85.3333,0,0,0,0,0,0,0,0,1,57.5,33,49,32,0,0,0,0,0,0,1,33,1,49,-1,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
1160443,10.42.0.211-10.42.0.1-32343-53-17,10.42.0.211,32343,10.42.0.1,53,17,08-07-2017 08:45,557,1,1,44,44,44,44,44,0,44,44,44,0,157989,3590.664273,557,0,557,557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1795.33,1795.33,44,44,44,0,0,0,0,0,0,0,0,0,0,1,66,44,44,20,0,0,0,0,0,0,1,44,1,44,-1,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
2266091,10.42.0.211-10.42.0.1-57894-53-17,10.42.0.211,57894,10.42.0.1,53,17,28-06-2017 12:13,31808,1,1,30,156,30,30,30,0,156,156,156,0,5847.59,62.87726358,31808,0,31808,31808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,31.4386,31.4386,30,156,72,72.74613392,5292,0,0,0,0,0,0,0,0,1,108,30,156,32,0,0,0,0,0,0,1,30,1,156,-1,-1,0,32,0,0,0,0,0,0,0,0,SCAREWARE_FAKEJOBOFFER
873132,172.217.10.227-10.42.0.42-443-46443-6,172.217.10.227,443,10.42.0.42,46443,6,04-07-2017 06:20,39569,1,1,0,0,0,0,0,0,0,0,0,0,0,50.54461826,39569,0,39569,39569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,25.2723,25.2723,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,362,1637,0,32,0,0,0,0,0,0,0,0,BENIGN
296981,10.42.0.211-10.42.0.1-3060-53-17,10.42.0.211,3060,10.42.0.1,53,17,14-06-2017 02:45,292002,1,1,30,46,30,30,30,0,46,46,46,0,260.272,6.849268156,292002,0,292002,292002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,3.42463,3.42463,30,46,35.3333,9.237604307,85.3333,0,0,0,0,0,0,0,0,1,53,30,46,20,0,0,0,0,0,0,1,30,1,46,-1,-1,0,20,0,0,0,0,0,0,0,0,ADWARE_KOODOUS
2109530,10.42.0.1-10.42.0.42-53-17090-17,10.42.0.42,17090,10.42.0.1,53,17,23-06-2017 12:09,31380,1,1,29,74,29,29,29,0,74,74,74,0,3282.35,63.73486297,31380,0,31380,31380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,40,31.8674,31.8674,29,74,44,25.98076211,675,0,0,0,0,0,0,0,0,1,66,29,74,20,0,0,0,0,0,0,1,29,1,74,-1,-1,0,20,0,0,0,0,0,0,0,0,SCAREWARE_AVPASS
2045766,10.42.0.151-65.52.108.74-53331-443-6,65.52.108.74,443,10.42.0.151,53331,6,22-06-2017 02:54,4,2,0,0,0,0,0,0,0,0,0,0,0,0,500000,4,0,4,4,4,4,0,4,4,0,0,0,0,0,0,0,0,0,64,0,500000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,0,0,514,-1,0,32,0,0,0,0,0,0,0,0,SCAREWARE_ANDROIDSPY
2263573,10.42.0.211-119.146.74.48-49684-80-6,10.42.0.211,49684,119.146.74.48,80,6,28-06-2017 12:07,6256640,2,0,0,0,0,0,0,0,0,0,0,0,0,0.319660546,6256640,0,6256640,6256637,6256640,6256640,0,6256640,6256640,0,0,0,0,0,0,0,0,0,40,0,0.319661,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,0,0,0,0,0,0,2,0,0,0,5989,-1,0,20,0,0,0,0,0,0,0,0,SCAREWARE_FAKEJOBOFFER
2580890,162.208.22.39-10.42.0.211-443-51809-6,10.42.0.211,51809,162.208.22.39,443,6,11-07-2017 10:58,30797800,2,0,0,0,0,0,0,0,0,0,0,0,0,0.064939784,30797800,0,30797800,30797762,30797800,30797800,0,30797800,30797800,0,0,0,0,0,0,0,0,0,40,0,0.0649398,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,40,0,0,0,0,0,0,2,0,0,0,1643,-1,0,20,0,0,0,0,0,0,0,0,SMSMALWARE_SMSSNIFFER
636997,10.42.0.42-31.13.71.37-51197-443-6,10.42.0.42,51197,31.13.71.37,443,6,07-08-2017 02:54,29478200,19,21,787,13434,310,0,41.4211,83.2048,1398,0,639.714,609.572,482.424,1.356933114,755852,4670300,29173900,3,29478200,1637680,6872170,29173900,8,234926,11746.3,20806.5,58625,3,0,0,0,0,616,680,0.644543,0.71239,0,1398,346.854,530.3322808,281252,0,0,0,1,0,0,0,0,1,355.525,41.4211,639.714,616,0,0,0,0,0,0,19,787,21,13434,65535,118,7,32,0,0,0,0,0,0,0,0,BENIGN
1893777,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,25-08-2017 09:33,109581000,15,0,0,0,0,0,0,0,0,0,0,0,0,0.136885236,7827200,10223300,21758300,7,109581000,7827200,10223300,21758300,7,0,0,0,0,0,0,0,0,0,0,0,0.136885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,-1,-1,0,0,956749,2025320,4576430,1686,20949400,526518,21758300,20478300,RANSOMWARE_SVPENG
2484652,172.217.10.74-10.42.0.42-443-55799-6,10.42.0.42,55799,172.217.10.74,443,6,14-08-2017 11:09,38590,2,1,0,0,0,0,0,0,0,0,0,0,0,77.74034724,19295,24130.7,36358,2232,38590,38590,0,38590,38590,0,0,0,0,0,0,0,0,0,60,40,51.8269,25.9134,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,2,0,1,0,65535,42408,0,20,0,0,0,0,0,0,0,0,SMSMALWARE_MAZARBOT
1315925,172.217.2.106-10.42.0.211-443-33356-6,10.42.0.211,33356,172.217.2.106,443,6,19-06-2017 04:38,148545,5,0,61,0,38,0,12.2,17.5271,0,0,0,0,410.65,33.65983372,37136.2,43717.5,98151,3196,148545,37136.2,43717.5,98151,3196,0,0,0,0,0,0,0,0,0,160,0,33.6598,0,0,38,10.1667,16.4489108,270.567,0,0,0,0,1,0,0,0,0,12.2,12.2,0,160,0,0,0,0,0,0,5,61,0,0,1909,-1,2,32,0,0,0,0,0,0,0,0,BENIGN
